Ticker,Date
SNDK,3/9/2026
LITE,3/9/2026
BE,3/9/2026
WDC,3/9/2026
CIEN,3/9/2026
MU,3/9/2026
SATS,3/9/2026
STX,3/9/2026
TER,3/9/2026
COHR,3/9/2026
HWM,3/9/2026
FIX,3/9/2026
ASTS,3/9/2026
VRT,3/9/2026
GLW,3/9/2026
NXT,3/9/2026
LRCX,3/9/2026
KTOS,3/9/2026
NEM,3/9/2026
ALB,3/9/2026
FN,3/9/2026
RVMD,3/9/2026
MTZ,3/9/2026
GEV,3/9/2026
FTAI,3/9/2026
CAT,3/9/2026
FTI,3/9/2026
GILD,3/9/2026
INTC,3/9/2026
HII,3/9/2026
SNDK,3/13/2026
LITE,3/13/2026
BE,3/13/2026
WDC,3/13/2026
MU,3/13/2026
CIEN,3/13/2026
SATS,3/13/2026
STX,3/13/2026
FIX,3/13/2026
TER,3/13/2026
ASTS,3/13/2026
HWM,3/13/2026
COHR,3/13/2026
NXT,3/13/2026
VRT,3/13/2026
LRCX,3/13/2026
KTOS,3/13/2026
GLW,3/13/2026
NEM,3/13/2026
ALB,3/13/2026
RVMD,3/13/2026
FN,3/13/2026
MTZ,3/13/2026
GEV,3/13/2026
CAT,3/13/2026
GILD,3/13/2026
INTC,3/13/2026
FTI,3/13/2026
HII,3/13/2026
PWR,3/13/2026
SNDK,3/17/2026
LITE,3/17/2026
BE,3/17/2026
WDC,3/17/2026
CIEN,3/17/2026
MU,3/17/2026
SATS,3/17/2026
STX,3/17/2026
ASTS,3/17/2026
FIX,3/17/2026
TER,3/17/2026
COHR,3/17/2026
HWM,3/17/2026
NXT,3/17/2026
VRT,3/17/2026
LRCX,3/17/2026
KTOS,3/17/2026
GLW,3/17/2026
NEM,3/17/2026
ALB,3/17/2026
RVMD,3/17/2026
MTZ,3/17/2026
GEV,3/17/2026
FN,3/17/2026
FTI,3/17/2026
CAT,3/17/2026
HII,3/17/2026
GILD,3/17/2026
KLAC,3/17/2026
PWR,3/17/2026
SNDK,3/18/2026
LITE,3/18/2026
BE,3/18/2026
WDC,3/18/2026
CIEN,3/18/2026
MU,3/18/2026
STX,3/18/2026
SATS,3/18/2026
FIX,3/18/2026
ASTS,3/18/2026
TER,3/18/2026
COHR,3/18/2026
HWM,3/18/2026
NXT,3/18/2026
KTOS,3/18/2026
VRT,3/18/2026
LRCX,3/18/2026
GLW,3/18/2026
ALB,3/18/2026
NEM,3/18/2026
RVMD,3/18/2026
GEV,3/18/2026
MTZ,3/18/2026
FN,3/18/2026
HII,3/18/2026
FTI,3/18/2026
NVT,3/18/2026
CAT,3/18/2026
GILD,3/18/2026
PWR,3/18/2026
SNDK,3/19/2026
LITE,3/19/2026
BE,3/19/2026
WDC,3/19/2026
CIEN,3/19/2026
MU,3/19/2026
STX,3/19/2026
SATS,3/19/2026
FIX,3/19/2026
COHR,3/19/2026
TER,3/19/2026
ASTS,3/19/2026
HWM,3/19/2026
LRCX,3/19/2026
NXT,3/19/2026
VRT,3/19/2026
KTOS,3/19/2026
GLW,3/19/2026
RVMD,3/19/2026
ALB,3/19/2026
GEV,3/19/2026
FN,3/19/2026
MTZ,3/19/2026
NEM,3/19/2026
FTI,3/19/2026
NVT,3/19/2026
HII,3/19/2026
INTC,3/19/2026
CAT,3/19/2026
VG,3/19/2026
